"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"1?","1","OLED-12880","","","","OLED-12880",""
"C?,C?,C?,C?,C?,C?,C?,C?,C?,C?,C?,C?,C?,C?","14","0.1uF","","","","CAP_0402",""
"C?,C?,C?,C?,C?,C?","6","10uF","","","","CAP_0402",""
"C?,C?","2","100uF","","","","1206-CAP",""
"C?","1","10nF","","","","CAP_0402",""
"C?","1","100pF","","","","CAP_0402",""
"C?","1","220pF","","","","CAP_0402",""
"D?,D?","2","二极管-5819W","","","","SOD-323",""
"D?","1","二极管-5B5819WS","","","","SOD-323",""
"D?","1","SMBJ28CA","","","","SMBJ-CA_MFG",""
"D?","1","SS54","","","","DO-214AC",""
"J?","1","跳线","","","","0402-0R",""
"K?,K?","2","TACT 2P","","","","ButtonTACT_3x4x2_180",""
"L?","1","2.2uH","","","","2520-L",""
"L?","1","6.8uH","","","","IND-201612",""
"P?","1","SH1.0-3P","","","","SH1.0-3P",""
"P?,P?","2","SH1.0-2P","","","","SH1.0-2P",""
"R?,R?,R?,R?,R?","5","1K","","","","RES_0402",""
"R?,R?","2","0.1R","","","","1206-RES",""
"R?","1","13.3K","","","","RES_0402",""
"R?","1","93.1K","","","","RES_0402",""
"R?","1","560K","","","","RES_0402",""
"R?","1","120R","","","","RES_0402",""
"R?","1","1M","","","","RES_0402",""
"R?","1","1.8K","","","","RES_0402",""
"R?,R?,R?,R?","4","10K","","","","RES_0402",""
"U?,U?","2","TB67H450FNG","","","","SO-8-PAD",""
"U?","1","TPS61040DBV","","","","SOT23-5",""
"U?","1","MT6816","","","","SO-8",""
"U?","1","ME3116","","","","SOT23-6",""
"U?,U?","2","STM32F103CBT6","","","","LQFP-48",""
"U?","1","LP2992 3V3","","","","SOT23-5",""
"U?","1","SN65HVD232D","","","","SO-8",""
"Y?","1","12MHz","","","","晶振-3P",""
