Reference	Qty	Value	DNP	Exclude from BOM	Exclude from Board	Footprint	Datasheet
1?	8	OLED-12880				OLED-12880	
"C1,C2,C4,C5,C6,C7,C8,C9,C15,C17,C18,C21,C25,C26,C32"	120	0.1uF				CAP_0402	
"C3,C10,C19,C22,C24,C28,C30"	56	10uF				CAP_0402	
"C11,C12,C13,C14"	32	100uF				1206-CAP	
C16	8	100pF				CAP_0402	
C20	8	10uF/50V				CAP_0402	
C23	8	10nF				CAP_0402	
C33	8	220pF				CAP_0402	
D1	8	SS54				DO-214AC	
D2	8	SMBJ28CA				SMBJ-CA_MFG	
"D3,D4"	16	二极管-5819W				SOD-323	
D6	8	二极管-5B5819WS				SOD-323	
J1	8	跳线				0402-0R	
"K1,K2"	16	TACT 2P				ButtonTACT_3x4x2_180	
L1	8	6.8uH				IND-201612	
L2	8	2.2uH				2520-L	
P1	8	SH1.0-5P				SH1.0-5P	
"P2,P3,P4"	24	SH1.0-6P				SH1.0-6P	
P5	8	SH1.0-3P				SH1.0-3P	
"R1,R2,R6,R7,R17"	40	1K				RES_0402	
"R3,R8"	16	0.1R				1206-RES	
R4	8	NCP15XH103F03RC				RES_0402	
R5	8	3.3K				RES_0402	
"R9,R10,R13,R16"	32	10K				RES_0402	
"R11,R12"	16	120R				RES_0402	
R14	8	1.8K				RES_0402	
R15	8	1M				RES_0402	
R23	8	560K				RES_0402	
R26	8	93.1K				RES_0402	
R27	8	13.3K				RES_0402	
"T1,T2"	16	测试点				TEST_PT	
"U1,U2"	16	TB67H450FNG				SO-8-PAD	
U3	8	STM32F103CBT6				LQFP-48	
U4	8	TL431IDBZT				SOT23-3	
U5	8	SN65HVD232D				SO-8	
U6	8	ME3116				SOT23-6	
U7	8	LP2992 3V3				SOT23-5	
U8	8	MT6816				SO-8	
U11	8	TPS61040DBV				SOT23-5	
Y1	8	12MHz				晶振-3P	
