Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
1?,1,OLED-12880,,,,OLED-12880,
"C1,C2,C4,C5,C6,C7,C8,C9,C15,C17,C18,C21,C25,C26,C32",15,0.1uF,,,,CAP_0402,
"C3,C10,C19,C22,C24,C28,C30",7,10uF,,,,CAP_0402,
"C11,C12,C13,C14",4,100uF,,,,1206-CAP,
C16,1,100pF,,,,CAP_0402,
C20,1,10uF/50V,,,,CAP_0402,
C23,1,10nF,,,,CAP_0402,
C33,1,220pF,,,,CAP_0402,
D1,1,SS54,,,,DO-214AC,
D2,1,SMBJ28CA,,,,SMBJ-CA_MFG,
"D3,D4",2,二极管-5819W,,,,SOD-323,
D6,1,二极管-5B5819WS,,,,SOD-323,
J1,1,跳线,,,,0402-0R,
"K1,K2",2,TACT 2P,,,,ButtonTACT_3x4x2_180,
L1,1,6.8uH,,,,IND-201612,
L2,1,2.2uH,,,,2520-L,
P1,1,SH1.0-5P,,,,SH1.0-5P,
"P2,P3,P4",3,SH1.0-6P,,,,SH1.0-6P,
P5,1,SH1.0-3P,,,,SH1.0-3P,
"R1,R2,R6,R7,R17",5,1K,,,,RES_0402,
"R3,R8",2,0.1R,,,,1206-RES,
R4,1,NCP15XH103F03RC,,,,RES_0402,
R5,1,3.3K,,,,RES_0402,
"R9,R10,R13,R16",4,10K,,,,RES_0402,
"R11,R12",2,120R,,,,RES_0402,
R14,1,1.8K,,,,RES_0402,
R15,1,1M,,,,RES_0402,
R23,1,560K,,,,RES_0402,
R26,1,93.1K,,,,RES_0402,
R27,1,13.3K,,,,RES_0402,
"T1,T2",2,测试点,,,,TEST_PT,
"U1,U2",2,TB67H450FNG,,,,SO-8-PAD,
U3,1,STM32F103CBT6,,,,LQFP-48,
U4,1,TL431IDBZT,,,,SOT23-3,
U5,1,SN65HVD232D,,,,SO-8,
U6,1,ME3116,,,,SOT23-6,
U7,1,LP2992 3V3,,,,SOT23-5,
U8,1,MT6816,,,,SO-8,
U11,1,TPS61040DBV,,,,SOT23-5,
Y1,1,12MHz,,,,晶振-3P,
