Reference	Qty	Value	DNP	Exclude from BOM	Exclude from Board	Footprint	Datasheet	采购数量	单价	总价	列1	列2
"C1,C2,C4,C5,C6,C7,C8,C9,C15,C17,C18,C21,C25,C26,C32"	120	0.1uF				CAP_0402		100	0.023	2.3	0402 0.1uF 16V X7R 5%	auwah旗舰店
"C3,C10,C19,C22,C24,C28,C30"	56	10uF				CAP_0402		100	0.05	5	040 100uF 16V X5R 220%	auwah旗舰店
"C11,C12,C13,C14"	32	100uF				1206-CAP		40	0.55	22	12206 100uF 107M 20% 25V	TIANYISHENG旗舰店
C16	8	100pF				CAP_0402		100	0.019	1.9	0402 100pF 50V NPO 5%	auwah旗舰店
C20	8	10uF/50V				CAP_0402		100	0.032	3.2	10uF 106M 0402 50V	深圳市宏宇电子
C23	8	10nF				CAP_0402		100	0.019	1.9	0402 10nF 50V X7R 10%	auwah旗舰店
C33	8	220pF				CAP_0402		100	0.04	4	0402 220pF NPO 50V	auwah旗舰店
D1	8	SS54				DO-214AC		20	0.1	2		深圳市科展伟业电子
D2	8	SMBJ28CA				SMBJ-CA_MFG		20	0.2	4	SMBJ28CA 28V 双向	auwah旗舰店
"D3,D4"	16	二极管-5819W				SOD-323		50	0.08	4	1N5819WS 0805 SOD-323	auwah旗舰店
D6	8	二极管-5B5819WS				SOD-323		100	0.02	2	1N5819WS-SOD-323(0805)	深圳市虹芯达电子
J1	8	跳线				0402-0R		16	0	0		
"K1,K2"	16	TACT 2P				ButtonTACT_3x4x2_180		100	0.1337	13.37	100PCS 3*4*2MM 3X4X2mm SMD Tact 2P miniature micro switch /	爱振甄选
L1	8	6.8uH				IND-201612		10	0.204	2.04	YSMC201612H-6R8M8	深圳市元易购买电子
L2	8	2.2uH				2520-L		20	0.4	8	LQM2HPN2R2MG0L 2520 2.2uH 1.3A	auwah旗舰店
P1	8	SH1.0-5P				SH1.0-5P		30	0.06	1.8	卧贴	深圳市科展伟业电子
"P2,P3,P4"	24	SH1.0-6P				SH1.0-6P		30	0.07	2.1	卧贴	深圳市科展伟业电子
P5	8	SH1.0-3P				SH1.0-3P		30	0.04	1.2	卧贴	深圳市科展伟业电子
"R1,R2,R6,R7,R17"	40	1K				RES_0402		40	0.16	6.4	0402 1K 0.1% 25ppm	auwah旗舰店
"R3,R8"	16	0.1R				1206-RES		50	0.056	2.8	1206 0.1R 100mR 1%	auwah旗舰店
R4	8	NCP15XH103F03RC				RES_0402		50	0.09	4.5	NCP15XH103F03RC 10K 1%	auwah旗舰店
R5	8	3.3K				RES_0402		100	0.015	1.5	3.3K 1% 0402	auwah旗舰店
"R9,R10,R13,R16"	32	10K				RES_0402		100	0.015	1.5	10K 1% 0402 (100只)	auwah旗舰店
"R11,R12"	16	120R				RES_0402		100	0.02	2	0402 120R 1% 100个	欧贝顿旗舰店
R14	8	1.8K				RES_0402		100	0.06	6	0402 1.8K 20mA	auwah旗舰店
R15	8	1M				RES_0402		20	0.16	3.2	0402 1M 0.1% 25ppm	auwah旗舰店
R23	8	560K				RES_0402		16	0.25	4	0402贴片电阻1% 560K 562K 576K 590K 604K 619K 620K 634K 1/16W	欧贝顿旗舰店
R26	8	93.1K				RES_0402		100	0.02	2	0402 93.1K 1% 	欧贝顿旗舰店
R27	8	13.3K				RES_0402		100	0.02	2	0402 13.3K 1%	欧贝顿旗舰店
"T1,T2"	16	测试点				TEST_PT		50	0.088	4.4	测试点 PC板测试点 镀金陶瓷测试环 电路板测试针厚金3U TEST-1R TEST-1B 蓝色 TEST-1B(蓝色)【50只】1U	兴宇乐塑胶旗舰店
"U1,U2"	16	TB67H450FNG				SO-8-PAD		20	1.45	29	TB67H450FNG	深圳市圭鑫电子科技
U3	8	STM32F103CBT6				LQFP-48		8	4.45	35.6	STM32F103CBT6	深圳市卓存电子科技企业店
U4	8	TL431IDBZT				SOT23-3		20	0.88	17.6	TL431 SOT-23？？	auwah旗舰店
U5	8	SN65HVD232D				SO-8		10	2	20	SN65HVD232DR SN65HVD232D 收发器芯片 封装SOP8 全新原装	深圳市康胜世纪电子企业店
U6	8	ME3116				SOT23-6		20	0.49	9.8	ME3116AM6G SOT-23-6输入40V 带载可达1A的DC-DC降压型稳压器	深圳市优信电子科技有限公司
U7	8	LP2992 3V3				SOT23-5		8	3.9	31.2	原装 LP2992AIM5X-3.3/NOPB 贴片SOT-23-5 低压降稳压器250mA 16V	coomiss旗舰店
U8	8	MT6816				SO-8		8	3.76	30.08	MT6816CT-STD SOP-8位置传感器 磁性角度14位高精角度编码器芯片	深圳市新纶电子
U11	8	TPS61040DBV				SOT23-5		8	3.5	28	全新原装 TPS61040DBVR 丝印PH01 贴片SOT23-5 电源升压芯片IC	
Y1	8	12MHz				晶振-3P		10	0.68	6.8	CSTNE12M0G520000R0 12MHz 10pF	auwah旗舰店
		SH1.0-2P						20	0.02	0.4		
